ElectricityUsage,SystemSize,SystemType,SolarPanel,Inverter,Battery ,NoOfBatteries ,InvetrerCost,NoOfInveters ,NoOfPanels,Tags,SolarSystem
4801-6000,50kW,Off Grid,Jinko Solar China,CanadainSolar Canada,LFP Lithium-ion,5,710000,5,50,4801-6000 Off Grid Jinko Solar China CanadainSolar Canada LFP Lithium-ion,50kW Off Grid | 50 solar panel- Jinko Solar China | 5 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 10300000
6001-7200,60kW,Off Grid,Jinko Solar China,CanadainSolar Canada,LFP Lithium-ion,6,710000,6,60,6001-7200 Off Grid Jinko Solar China CanadainSolar Canada LFP Lithium-ion,60kW Off Grid | 60 solar panel- Jinko Solar China | 6 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 12360000
0-120,1kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,1,66000,1,1,0-120 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,1kW Off Grid | 1 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 192000
121-240,2kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,1,95000,1,2,121-240 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,2kW Off Grid | 2 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 357000
241-420,3.5kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,1,198000,1,4,241-420 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,3.5kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 632000
421-480,4kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,1,310000,1,4,421-480 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,4kW Off Grid | 4 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 904000
481-600,5kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,1,390000,1,5,481-600 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,5kW Off Grid | 5 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1030000
601-900,7.5kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,1,490000,1,7,601-900 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,7.5kW Off Grid | 7 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1702000
901-960,8kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,1,520000,1,8,901-960 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,8kW Off Grid | 8 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1778000
961-1200,10kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,1,580000,1,10,961-1200 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,10kW Off Grid | 10 solar panel- Jinko Solar China | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1930000
1201-1800,15kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,2,490000,2,15,1201-1800 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,15kW Off Grid | 15 solar panel- Jinko Solar China | 2 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 3450000
1801-2400,20kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,2,580000,2,20,1801-2400 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,20kW Off Grid | 20 solar panel- Jinko Solar China | 2 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 3860000
2401-3600,30kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,3,580000,3,30,2401-3600 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,30kW Off Grid | 30 solar panel- Jinko Solar China | 3 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 5790000
3601-4800,40kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,4,580000,4,40,3601-4800 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,40kW Off Grid | 40 solar panel- Jinko Solar China | 4 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 7720000
4801-6000,50kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,5,580000,5,50,4801-6000 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,50kW Off Grid | 50 solar panel- Jinko Solar China | 5 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 9650000
6001-7200,60kW,Off Grid,Jinko Solar China,Growatt China,LFP Lithium-ion,6,580000,6,60,6001-7200 Off Grid Jinko Solar China Growatt China LFP Lithium-ion,60kW Off Grid | 60 solar panel- Jinko Solar China | 6 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 11580000
0-120,1kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,1,64000,1,1,0-120 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,1kW Off Grid | 1 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 198000
121-240,2kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,1,100000,1,2,121-240 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,2kW Off Grid | 2 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 378000
241-420,3.5kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,1,190000,1,4,241-420 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,3.5kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 656000
421-480,4kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,1,280000,1,4,421-480 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,4kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 906000
481-600,5kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,1,380000,1,5,481-600 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,5kW Off Grid | 5 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1060000
601-900,7.5kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,1,490000,1,7,601-900 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,7.5kW Off Grid | 7 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1758000
901-960,8kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,1,500000,1,8,901-960 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,8kW Off Grid | 8 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1822000
961-1200,10kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,1,580000,1,10,961-1200 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,10kW Off Grid | 10 solar panel- Canadian Solar Canada | 1 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 2010000
1201-1800,15kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,2,580000,2,15,1201-1800 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,15kW Off Grid | 15 solar panel- Canadian Solar Canada | 2 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 3750000
1801-2400,20kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,2,580000,2,20,1801-2400 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,20kW Off Grid | 20 solar panel- Canadian Solar Canada | 2 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 4020000
2401-3600,30kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,3,580000,3,30,2401-3600 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,30kW Off Grid | 30 solar panel- Canadian Solar Canada | 3 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 6030000
3601-4800,40kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,4,580000,4,40,3601-4800 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,40kW Off Grid | 40 solar panel- Canadian Solar Canada | 4 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 8040000
4801-6000,50kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,5,580000,5,50,4801-6000 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,50kW Off Grid | 50 solar panel- Canadian Solar Canada | 5 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 10050000
6001-7200,60kW,Off Grid,Canadian Solar Canada,Goodwee China,LFP Lithium-ion,6,580000,6,60,6001-7200 Off Grid Canadian Solar Canada Goodwee China LFP Lithium-ion,60kW Off Grid | 60 solar panel- Canadian Solar Canada | 6 Inverter - Goodwee China | Battery-  LFP Lithium-ion | Solar system cost Rs. 12060000
0-120,1kW,Off Grid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,1,84000,1,1,0-120 Off Grid Canadian Solar Canada SMA Germany  LFP Lithium-ion,1kW Off Grid | 1 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 218000
121-240,2kW,Off Grid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,1,120000,1,2,121-240 Off Grid Canadian Solar Canada SMA Germany  LFP Lithium-ion,2kW Off Grid | 2 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 398000
241-420,3.5kW,Off Grid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,1,240000,1,4,241-420 Off Grid Canadian Solar Canada SMA Germany  LFP Lithium-ion,3.5kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 706000
421-480,4kW,Off Grid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,1,320000,1,4,421-480 Off Grid Canadian Solar Canada SMA Germany  LFP Lithium-ion,4kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 946000
481-600,5kW,Off Grid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,1,440000,1,5,481-600 Off Grid Canadian Solar Canada SMA Germany  LFP Lithium-ion,5kW Off Grid | 5 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 1120000
601-900,7.5kW,Off Grid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,1,520000,1,7,601-900 Off Grid Canadian Solar Canada SMA Germany  LFP Lithium-ion,7.5kW Off Grid | 7 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 1788000
901-960,8kW,Off Grid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,1,610000,1,8,901-960 Off Grid Canadian Solar Canada SMA Germany  LFP Lithium-ion,8kW Off Grid | 8 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 1932000
961-1200,10kW,Off Grid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,1,710000,1,10,961-1200 Off Grid Canadian Solar Canada SMA Germany  LFP Lithium-ion,10kW Off Grid | 10 solar panel- Canadian Solar Canada | 1 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 2140000
1201-1800,15kW,Off Grid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,2,520000,2,15,1201-1800 Off Grid Canadian Solar Canada SMA Germany  LFP Lithium-ion,15kW Off Grid | 15 solar panel- Canadian Solar Canada | 2 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 3630000
1801-2400,20kW,Off Grid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,2,710000,2,20,1801-2400 Off Grid Canadian Solar Canada SMA Germany  LFP Lithium-ion,20kW Off Grid | 20 solar panel- Canadian Solar Canada | 2 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 4280000
2401-3600,30kW,Off Grid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,3,710000,3,30,2401-3600 Off Grid Canadian Solar Canada SMA Germany  LFP Lithium-ion,30kW Off Grid | 30 solar panel- Canadian Solar Canada | 3 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 6420000
3601-4800,40kW,Off Grid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,4,710000,4,40,3601-4800 Off Grid Canadian Solar Canada SMA Germany  LFP Lithium-ion,40kW Off Grid | 40 solar panel- Canadian Solar Canada | 4 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 8560000
4801-6000,50kW,Off Grid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,5,710000,5,50,4801-6000 Off Grid Canadian Solar Canada SMA Germany  LFP Lithium-ion,50kW Off Grid | 50 solar panel- Canadian Solar Canada | 5 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 10700000
6001-7200,60kW,Off Grid,Canadian Solar Canada,SMA Germany ,LFP Lithium-ion,6,710000,6,60,6001-7200 Off Grid Canadian Solar Canada SMA Germany  LFP Lithium-ion,60kW Off Grid | 60 solar panel- Canadian Solar Canada | 6 Inverter - SMA Germany  | Battery-  LFP Lithium-ion | Solar system cost Rs. 12840000
0-120,1kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,88000,1,1,0-120 Off Grid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,1kW Off Grid | 1 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 222000
121-240,2kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,120000,1,2,121-240 Off Grid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,2kW Off Grid | 2 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 398000
241-420,3.5kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,210000,1,4,241-420 Off Grid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,3.5kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 676000
421-480,4kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,290000,1,4,421-480 Off Grid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,4kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 916000
481-600,5kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,390000,1,5,481-600 Off Grid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,5kW Off Grid | 5 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 1070000
601-900,7.5kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,500000,1,7,601-900 Off Grid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,7.5kW Off Grid | 7 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 1768000
901-960,8kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,610000,1,8,901-960 Off Grid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,8kW Off Grid | 8 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 1932000
961-1200,10kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,1,710000,1,10,961-1200 Off Grid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,10kW Off Grid | 10 solar panel- Canadian Solar Canada | 1 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 2140000
1201-1800,15kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,2,500000,2,15,1201-1800 Off Grid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,15kW Off Grid | 15 solar panel- Canadian Solar Canada | 2 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 3590000
1801-2400,20kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,2,710000,2,20,1801-2400 Off Grid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,20kW Off Grid | 20 solar panel- Canadian Solar Canada | 2 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 4280000
2401-3600,30kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,3,710000,3,30,2401-3600 Off Grid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,30kW Off Grid | 30 solar panel- Canadian Solar Canada | 3 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 6420000
3601-4800,40kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,4,710000,4,40,3601-4800 Off Grid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,40kW Off Grid | 40 solar panel- Canadian Solar Canada | 4 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 8560000
4801-6000,50kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,5,710000,5,50,4801-6000 Off Grid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,50kW Off Grid | 50 solar panel- Canadian Solar Canada | 5 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 10700000
6001-7200,60kW,Off Grid,Canadian Solar Canada,CanadainSolar Canada,LFP Lithium-ion,6,710000,6,60,6001-7200 Off Grid Canadian Solar Canada CanadainSolar Canada LFP Lithium-ion,60kW Off Grid | 60 solar panel- Canadian Solar Canada | 6 Inverter - CanadainSolar Canada | Battery-  LFP Lithium-ion | Solar system cost Rs. 12840000
0-120,1kW,Off Grid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,66000,1,1,0-120 Off Grid Canadian Solar Canada Growatt China LFP Lithium-ion,1kW Off Grid | 1 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 200000
121-240,2kW,Off Grid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,95000,1,2,121-240 Off Grid Canadian Solar Canada Growatt China LFP Lithium-ion,2kW Off Grid | 2 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 373000
241-420,3.5kW,Off Grid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,198000,1,4,241-420 Off Grid Canadian Solar Canada Growatt China LFP Lithium-ion,3.5kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 664000
421-480,4kW,Off Grid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,310000,1,4,421-480 Off Grid Canadian Solar Canada Growatt China LFP Lithium-ion,4kW Off Grid | 4 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 936000
481-600,5kW,Off Grid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,390000,1,5,481-600 Off Grid Canadian Solar Canada Growatt China LFP Lithium-ion,5kW Off Grid | 5 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1070000
601-900,7.5kW,Off Grid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,490000,1,7,601-900 Off Grid Canadian Solar Canada Growatt China LFP Lithium-ion,7.5kW Off Grid | 7 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1758000
901-960,8kW,Off Grid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,520000,1,8,901-960 Off Grid Canadian Solar Canada Growatt China LFP Lithium-ion,8kW Off Grid | 8 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 1842000
961-1200,10kW,Off Grid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,1,580000,1,10,961-1200 Off Grid Canadian Solar Canada Growatt China LFP Lithium-ion,10kW Off Grid | 10 solar panel- Canadian Solar Canada | 1 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 2010000
1201-1800,15kW,Off Grid,Canadian Solar Canada,Growatt China,LFP Lithium-ion,2,490000,2,15,1201-1800 Off Grid Canadian Solar Canada Growatt China LFP Lithium-ion,15kW Off Grid | 15 solar panel- Canadian Solar Canada | 2 Inverter - Growatt China | Battery-  LFP Lithium-ion | Solar system cost Rs. 3570000
